Ref #,State,Organization,Date,Fact-Check URL,Author,Title,Paywall — Wayback Machine Link,TV Alternate/Duplicate Link,Notes,Claimant Name // (Claim Source?),Type of Claimant,Political Designation,Party Affiliation,Current Officeholder?,Current Position,Running for Office?,Aspiring Position,Topic,Source of Statement,Fact-Check Format,Was a Definitive Rating Given?,Multiple claims?,DELETE,INDIVIDUAL RECORD,ECONOMIC ISSUES,GOVERNMENT OPERATIONS,VOTING/ELECTIONS,CIVIL RIGHTS MINORITY ISSUES AND CIVIL LIBERTIES,IMMIGRATION AND REFUGEE ISSUES,LGBTQ,RACE,RELIGION,SOCIAL WELFARE,EDUCATION,ABORTION/WOMEN,HEALTH,LAW AND CRIME AND POLICING,GUNS,HISTORY,LEGISLATION,AGRICULTURE,ENERGY AND ENVIRONMENT,COMMUNITY DEVELOPMENT AND HOUSING,TECHNOLOGY SCIENCE SPACE,MEDIA AND COMMUNICATIONS
703,New Mexico,4 Investigates Fact Check,7/15/2022,https://www.kob.com/new-mexico/4-investigates-fact-check-the-truth-on-abortion-stances/,Matt Grubs,4 Investigates Fact Check: The truth on abortion stances,,,,Mark Ronchetti,Political,Politician,Republican,No,,Yes,Governor,"Abortion/Women, Individual Record",Advertisement,Video + Article,No,A,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,New Mexico,4 Investigates Fact Check,7/15/2022,https://www.kob.com/new-mexico/4-investigates-fact-check-the-truth-on-abortion-stances/,Matt Grubs,4 Investigates Fact Check: The truth on abortion stances,,,,Mark Ronchetti,Political,Politician,Republican,No,,Yes,Governor,"Abortion/Women, Individual Record",Advertisement,Video + Article,No,B,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
